,0,1,2
113107,2.0,3.0,0.0
410072,95.0,28.0,0.0
477666,15.0,0.0,0.0
1432052,1.0,0.0,0.0
1673721,54.0,17.0,0.0
649724,23.0,11.0,0.0
1739263,11.0,0.0,0.0
1739265,20.0,3.0,0.0
1227267,4.0,0.0,10.0
1739268,43.0,0.0,26.0
1739270,12.0,0.0,6.0
340486,19.0,4.0,0.0
78345,5.0,6.0,0.0
1227276,31.0,8.0,31.0
1739279,65.0,25.0,20.0
1110546,20.0,8.0,21.0
100886,4.0,2.0,0.0
1499682,27.0,6.0,0.0
1739298,18.0,9.0,0.0
1739299,13.0,0.0,0.0
1739309,14.0,0.0,4.0
322095,25.0,22.0,7.0
305719,22.0,4.0,17.0
1739319,6.0,7.0,0.0
39482,1.0,0.0,0.0
571,8.0,0.0,0.0
39485,66.0,23.0,0.0
47678,92.0,34.0,4.0
39486,58.0,15.0,0.0
39488,87.0,33.0,0.0
1860161,20.0,0.0,0.0
39490,90.0,31.0,0.0
39491,102.0,37.0,0.0
45634,18.0,7.0,0.0
39492,45.0,16.0,0.0
1739336,21.0,0.0,0.0
1284680,11.0,0.0,0.0
39496,2.0,2.0,0.0
387661,86.0,28.0,0.0
1739341,4.0,0.0,0.0
469588,9.0,0.0,0.0
469589,14.0,9.0,0.0
166486,89.0,31.0,0.0
469591,77.0,27.0,0.0
469590,57.0,13.0,0.0
469593,80.0,20.0,0.0
469592,22.0,14.0,0.0
1739356,1.0,1.0,0.0
1739357,31.0,6.0,0.0
936548,8.0,0.0,0.0
936549,15.0,6.0,19.0
936550,3.0,0.0,0.0
469609,34.0,0.0,0.0
936554,2.0,0.0,0.0
936561,71.0,27.0,17.0
936562,69.0,24.0,20.0
936563,34.0,21.0,0.0
1739381,20.0,8.0,15.0
936565,8.0,0.0,0.0
1602169,31.0,10.0,0.0
936572,15.0,0.0,0.0
936573,9.0,0.0,0.0
1739389,21.0,0.0,0.0
1602172,1.0,0.0,0.0
936577,37.0,16.0,0.0
936578,14.0,5.0,4.0
1882754,15.0,0.0,0.0
936580,30.0,0.0,22.0
1739397,14.0,0.0,0.0
1329795,1.0,0.0,0.0
936587,19.0,6.0,1.0
936588,26.0,7.0,18.0
936589,6.0,0.0,0.0
1739406,24.0,8.0,20.0
936591,14.0,5.0,11.0
1739408,18.0,0.0,1.0
160404,17.0,4.0,0.0
754327,2.0,0.0,0.0
47770,22.0,0.0,11.0
754331,1.0,0.0,0.0
754330,2.0,2.0,0.0
1280669,52.0,14.0,0.0
1739422,25.0,0.0,1.0
1903262,46.0,19.0,0.0
1739421,16.0,5.0,9.0
658082,88.0,27.0,0.0
658083,1.0,1.0,0.0
1739430,20.0,0.0,11.0
658087,25.0,4.0,0.0
1284775,28.0,11.0,0.0
658089,2.0,1.0,0.0
1739435,76.0,23.0,24.0
457387,37.0,8.0,0.0
457389,10.0,3.0,0.0
457388,14.0,4.0,0.0
457390,24.0,3.0,0.0
457391,66.0,22.0,0.0
457392,93.0,33.0,0.0
29361,82.0,26.0,0.0
457394,91.0,29.0,0.0
457395,75.0,22.0,0.0
457393,40.0,9.0,0.0
457397,19.0,10.0,0.0
29363,18.0,9.0,0.0
457396,11.0,0.0,0.0
74426,47.0,12.0,0.0
672443,9.0,0.0,0.0
1739452,41.0,14.0,23.0
1653435,2.0,0.0,0.0
35517,1.0,0.0,7.0
1841855,20.0,13.0,0.0
1841856,61.0,20.0,0.0
35518,1.0,0.0,2.0
1473216,1.0,0.0,0.0
1739459,19.0,4.0,1.0
457412,71.0,21.0,0.0
1739461,20.0,0.0,0.0
457416,61.0,0.0,33.0
1841865,26.0,8.0,0.0
1739467,10.0,3.0,0.0
457422,2.0,0.0,0.0
29391,73.0,29.0,21.0
1737424,35.0,8.0,0.0
78544,13.0,0.0,6.0
727,9.0,0.0,5.0
729,56.0,14.0,18.0
732,21.0,0.0,12.0
735,17.0,6.0,14.0
1739488,10.0,6.0,3.0
674529,22.0,13.0,0.0
736,13.0,5.0,0.0
739,24.0,8.0,13.0
1739491,23.0,0.0,1.0
60133,37.0,14.0,30.0
1739495,11.0,0.0,7.0
